name,ticker,sector,pe_ratio,industry,market_cap,ytd_return
Intuit Inc,INTU,Information Technology,45.87,Software & IT Services,83066.19,0.16
Zoom Video Communications Cl A,ZM,Information Technology,700.58,Software & IT Services,140105.77,6.36
Caterpillar Inc,CAT,Industrials,19.82,"Machinery, Equipment & Components",79682.69,-0.02
Mondelez Intl Inc,MDLZ,Consumer Staples,23.59,Food & Tobacco,79715.56,0.00
Target Corp,TGT,Consumer Discretionary,22.30,Diversified Retail,77135.20,0.18
Intuitive Surg Inc,ISRG,Health Care,70.13,Healthcare Equipment & Supplies,77941.58,0.11
Zoetis Inc Cl A,ZTS,Health Care,47.77,Pharmaceuticals,76740.62,0.20
Prologis Inc,PLD,Real Estate,38.41,Residential & Commercial REIT,73278.40,0.07
Altria Group,MO,Consumer Staples,0.00,Food & Tobacco,71641.21,-0.24
Stryker Corp,SYK,Health Care,48.31,Healthcare Equipment & Supplies,76386.95,-0.04
Vertex Pharmaceutic,VRTX,Health Care,33.82,Biotechnology & Medical Research,69695.85,0.20
Booking Holdings Inc,BKNG,Consumer Discretionary,28.28,Hotels & Entertainment Services,68548.01,-0.20
Equinix Inc,EQIX,Real Estate,130.20,Residential & Commercial REIT,66417.84,0.25
Dominion Resources,D,Utilities,119.69,Electrical Utilities & IPPs,65041.95,-0.08
Anthem Inc,ANTM,Health Care,10.75,Healthcare Providers & Services,62232.76,-0.19
TJX Companies,TJX,Consumer Discretionary,95.45,Diversified Retail,64605.41,-0.13
Goldman Sachs Group,GS,Financials,14.58,Investment Banking & Investment Services,68748.47,-0.19
Crown Castle International Corp,CCI,Real Estate,92.44,Residential & Commercial REIT,67138.53,0.09
Air Products and Chemicals,APD,Materials,34.02,Chemicals,64821.45,0.22
American Express Company,AXP,Financials,20.40,Banking Services,79292.27,-0.23
Deere & Company,DE,Industrials,25.75,"Machinery, Equipment & Components",68184.08,0.24
Duke Energy Corp,DUK,Utilities,28.91,Electrical Utilities & IPPs,60812.88,-0.11
Colgate-Palmolive Company,CL,Consumer Staples,25.41,Personal & Household Products & Services,65222.43,0.09
