name,ticker,sector,pe_ratio,industry,market_cap,ytd_return
Pentair Ltd,PNR,Industrials,22.49,"Machinery, Equipment & Components",7532.26,-0.02
Cf Industries Holdings,CF,Materials,17.91,Chemicals,6683.75,-0.35
Iaa Inc.,IAA,Industrials,42.06,Specialty Retailers,6911.60,0.08
Axon Inc,AAXN,Industrials,5134.32,Aerospace & Defense,5514.76,0.18
Mosaic Company,MOS,Materials,0.00,Chemicals,6842.57,-0.16
Scotts Miracle-Gro Company,SMG,Materials,26.49,Chemicals,8485.23,0.37
Store Capital Corpstore Capital,STOR,Real Estate,23.42,Residential & Commercial REIT,6820.37,-0.30
Apartment Investment and Management,AIV,Real Estate,25.67,Residential & Commercial REIT,5173.06,-0.35
Paylocity Hld Corp,PCTY,Information Technology,129.97,Software & IT Services,8066.10,0.23
F5 Networks Inc,FFIV,Information Technology,22.60,Software & IT Services,7362.18,-0.15
10X Genomics Inc.,TXG,Health Care,0.00,Healthcare Equipment & Supplies,12870.06,0.59
Lincoln National Corp,LNC,Financials,29.70,Insurance,6050.60,-0.48
Thor Industries,THO,Consumer Discretionary,27.03,Leisure Products,5287.49,0.26
American Airlines Gp,AAL,Industrials,3.32,Passenger Transportation Services,6275.64,-0.58
Altice USA Inc Cl A,ATUS,Communication Services,85.03,Telecommunications Services,15180.84,-0.07
Toll Brothers Inc,TOL,Consumer Discretionary,14.59,Homebuilding & Construction Supplies,6080.76,0.19
Erie Indemnity Company,ERIE,Financials,41.28,Insurance,9630.42,0.23
Jones Lang Lasalle Inc,JLL,Real Estate,11.97,Real Estate Operations,4965.26,-0.47
Ingredion Inc,INGR,Consumer Staples,15.13,Food & Tobacco,5237.72,-0.19
Bunge Ltd,BG,Consumer Staples,0.00,Food & Tobacco,6420.78,-0.22
Caci International,CACI,Information Technology,17.85,Software & IT Services,5652.55,-0.13
Heico Corp New [Hei.A],HEI.A,Industrials,0.00,Aerospace & Defense,13053.34,-0.04
Momenta Pharma,MNTA,Health Care,0.00,Biotechnology & Medical Research,6232.37,1.65
Sensata Technologies Holding N.V.,ST,Industrials,82.30,Electronic Equipment & Parts,6584.07,-0.23
Genpact Ltd,G,Information Technology,23.85,Professional & Commercial Services,7415.29,-0.10
Comerica Inc,CMA,Financials,8.93,Banking Services,5165.31,-0.49
News Cp Cl A,NWSA,Communication Services,49.65,Media & Publishing,8693.87,0.01
Sirius XM Holdings,SIRI,Communication Services,22.53,Media & Publishing,22265.69,-0.30
Franklin Resources,BEN,Financials,9.69,Investment Banking & Investment Services,9842.74,-0.25
Sonoco Products Company,SON,Materials,18.44,Containers & Packaging,4987.71,-0.21
Robert Half International Inc,RHI,Industrials,16.48,Professional & Commercial Services,5936.73,-0.18
Ciena Corp,CIEN,Information Technology,17.03,Communications & Networking,6344.08,-0.08
Churchill Downs IN,CHDN,Consumer Discretionary,45.17,Hotels & Entertainment Services,6341.55,0.20
Proofpoint Inc,PFPT,Information Technology,0.00,Software & IT Services,6125.01,-0.10
Zynga Inc Cl A,ZNGA,Communication Services,300.32,Software & IT Services,9356.31,0.42
Alteryx Inc,AYX,Information Technology,0.00,Software & IT Services,7315.14,0.06
HD Supply Hlds Cmm,HDS,Industrials,15.57,Diversified Industrial Goods Wholesale,6352.74,-0.03
Sei Investments Company,SEIC,Financials,16.30,Investment Banking & Investment Services,7371.96,-0.24
Lear Corp,LEA,Consumer Discretionary,55.72,Automobiles & Auto Parts,6543.58,-0.21
Bright Horizons Family Solutions Inc,BFAM,Consumer Discretionary,70.00,Personal & Household Products & Services,8608.28,-0.05
Myokardia Inc,MYOK,Health Care,0.00,Biotechnology & Medical Research,7028.74,0.77
Donaldson Company,DCI,Industrials,23.28,Professional & Commercial Services,5885.18,-0.20
Royal Gold Inc,RGLD,Materials,63.80,Metals & Mining,8081.47,-0.05
First Industrial Realty Trust,FR,Real Estate,20.38,Residential & Commercial REIT,5123.93,-0.05
Hill-Rom Holdings Inc,HRC,Health Care,26.62,Healthcare Equipment & Supplies,5488.33,-0.27
Davita Healthcare Partners Inc,DVA,Health Care,13.47,Healthcare Providers & Services,8972.41,0.10
NRG Energy,NRG,Utilities,1.70,Electrical Utilities & IPPs,7040.94,-0.28
Axa Equitable Holdings Inc,EQH,Financials,0.00,Investment Banking & Investment Services,8066.94,-0.28
Encompass Health Corp,EHC,Health Care,21.60,Healthcare Providers & Services,6163.66,-0.11
Williams-Sonoma,WSM,Consumer Discretionary,16.87,Specialty Retailers,6837.05,0.20
Tandem Diabetes Care,TNDM,Health Care,0.00,Healthcare Equipment & Supplies,6598.57,0.81
Wynn Resorts Ltd,WYNN,Consumer Discretionary,69.58,Hotels & Entertainment Services,7863.54,-0.49
Grubhub Inc,GRUB,Consumer Discretionary,0.00,Software & IT Services,6734.43,0.46
Realpage Inc,RP,Information Technology,119.61,Software & IT Services,5934.47,0.08
Assurant Inc,AIZ,Financials,16.70,Insurance,7212.05,-0.09
Flir Systems Inc,FLIR,Information Technology,33.37,Communications & Networking,4585.34,-0.34
Synnex Corp,SNX,Information Technology,14.24,"Computers, Phones & Household Electronics",6813.27,-0.01
Ugi Corp,UGI,Utilities,14.65,Natural Gas Utilities,6762.10,-0.30
Aecom Technology Corp,ACM,Industrials,0.00,Construction & Engineering,6186.19,-0.10
Dynatrace Holdings Llc,DT,Information Technology,0.00,Software & IT Services,11588.55,0.61
Beyond Meat Inc,BYND,Consumer Staples,0.00,Food & Tobacco,9605.25,0.99
Sunrun Inc,RUN,Industrials,547.86,Renewable Energy,7968.96,3.47
Universal Health Services,UHS,Health Care,12.55,Healthcare Providers & Services,9041.98,-0.29
Exelixis Inc,EXEL,Health Care,28.74,Biotechnology & Medical Research,7913.38,0.35
Stericycle Inc,SRCL,Industrials,227.34,Professional & Commercial Services,5618.88,-0.05
Lyft Inc Cl A,LYFT,Industrials,0.00,Software & IT Services,8835.00,-0.37
Jabil Circuit,JBL,Information Technology,142.65,Electronic Equipment & Parts,5008.09,-0.22
Boston Beer Company,SAM,Consumer Staples,90.53,Beverages,11041.74,1.37
Post Holdings Inc,POST,Consumer Staples,0.00,Food & Tobacco,5689.87,-0.25
Snap-On Inc,SNA,Industrials,13.94,"Machinery, Equipment & Components",7869.81,-0.17
Cabot Oil & Gas Corp,COG,Energy,24.57,Oil & Gas,7736.44,0.07
Penumbra Inc,PEN,Health Care,1660.71,Healthcare Equipment & Supplies,7376.75,0.24
Restoration Hardware Holdings,RH,Consumer Discretionary,44.47,Specialty Retailers,7258.50,0.65
Gentex Corp,GNTX,Consumer Discretionary,21.42,Automobiles & Auto Parts,6225.60,-0.13
Dunkin' Brands Group,DNKN,Consumer Discretionary,29.46,Hotels & Entertainment Services,6350.76,0.02
Borgwarner Inc,BWA,Consumer Discretionary,17.37,Automobiles & Auto Parts,7753.38,-0.14
Manhattan Assoc,MANH,Information Technology,72.84,Software & IT Services,6127.27,0.18
Irhythm Technologies Inc,IRTC,Health Care,0.00,Healthcare Equipment & Supplies,6368.30,2.20
Trex Company,TREX,Industrials,47.66,Homebuilding & Construction Supplies,7899.21,0.49
Pinnacle West Capital Corp,PNW,Utilities,17.03,Electrical Utilities & IPPs,8084.97,-0.21
Reliance Steel & Aluminum Company,RS,Materials,14.39,Metals & Mining,6426.18,-0.16
Aci Worldwide Inc,ACIW,Information Technology,38.93,Software & IT Services,2922.53,-0.35
American Equity Investment Life,AEL,Financials,7.69,Insurance,1846.45,-0.35
Spirit Realty Capital Inc,SRC,Real Estate,50.90,Residential & Commercial REIT,3542.62,-0.32
Glacier Bancorp Inc,GBCI,Financials,13.28,Banking Services,2942.42,-0.34
Telephone and Data Systems,TDS,Communication Services,13.86,Telecommunications Services,2209.34,-0.27
Atricure Inc,ATRC,Health Care,0.00,Healthcare Equipment & Supplies,1753.68,0.19
Saia Inc,SAIA,Industrials,28.87,Freight & Logistics Services,3127.80,0.30
Pacwest Bancorp,PACW,Financials,4.28,Banking Services,1898.35,-0.58
Cleveland-Cliffs Inc,CLF,Materials,80.09,Metals & Mining,2427.12,-0.30
Cimarex Energy Company,XEC,Energy,0.00,Oil & Gas,2462.69,-0.56
Blackstone Mortgage Trust Inc Cl A,BXMT,Real Estate,25.76,Residential & Commercial REIT,3296.75,-0.41
Blueprint Medicines Corp,BPMC,Health Care,0.00,Biotechnology & Medical Research,4823.59,0.12
Element Solutions Inc,ESI,Materials,34.73,Chemicals,2700.80,-0.09
Trinity Industries,TRN,Industrials,0.00,Industrial Conglomerates,2316.69,-0.13
Exlservice Holdings,EXLS,Information Technology,30.96,Professional & Commercial Services,2183.82,-0.11
SPX Corp,SPXC,Industrials,18.22,"Machinery, Equipment & Components",1908.72,-0.16
Wpx Energy Inc,WPX,Energy,0.00,Oil & Gas,2602.99,-0.68
Affiliated Managers Group,AMG,Financials,25.97,Investment Banking & Investment Services,3013.85,-0.25
Arena Pharmaceuticals,ARNA,Health Care,6.53,Biotechnology & Medical Research,4255.50,0.60
Bruker Corp,BRKR,Health Care,36.63,Healthcare Equipment & Supplies,5936.65,-0.24
Fti Consulting,FCN,Industrials,21.21,Professional & Commercial Services,3838.73,-0.05
Woodward Inc,WWD,Industrials,20.17,"Machinery, Equipment & Components",4879.65,-0.35
Cannae Holdings Inc,CNNE,Financials,2.24,Hotels & Entertainment Services,3225.38,-0.07
Maximus Inc,MMS,Information Technology,20.82,Professional & Commercial Services,4206.66,-0.11
Silgan Holdings,SLGN,Materials,15.90,Containers & Packaging,3985.24,0.14
Signature Bank,SBNY,Financials,8.34,Banking Services,4441.94,-0.39
Enersys Inc,ENS,Industrials,22.48,"Machinery, Equipment & Components",2757.21,-0.15
Globus Medical Inc,GMED,Health Care,58.88,Healthcare Equipment & Supplies,4915.46,-0.16
Tradeweb Markets Inc,TW,Financials,50.62,Investment Banking & Investment Services,10137.43,0.15
Integer Holdings Corp,ITGR,Health Care,25.58,Healthcare Equipment & Supplies,1855.97,-0.30
Fate Therapeutics,FATE,Health Care,0.00,Biotechnology & Medical Research,3221.05,0.86
Inovio Pharma,INO,Health Care,0.00,Biotechnology & Medical Research,2844.50,3.84
John Bean Technologies Corp,JBT,Industrials,22.86,"Machinery, Equipment & Components",3102.73,-0.15
Teradata Corp,TDC,Information Technology,22.69,Software & IT Services,2548.42,-0.15
Korn/Ferry International,KFY,Industrials,53.95,Professional & Commercial Services,1600.70,-0.33
Cirrus Logic Inc,CRUS,Information Technology,21.28,Semiconductors & Semiconductor Equipment,3565.47,-0.27
Uniti Group Inc,UNIT,Real Estate,189.82,Residential & Commercial REIT,1902.67,0.15
Strayer Education,STRA,Consumer Discretionary,18.13,Personal & Household Products & Services,2278.12,-0.41
Howard Hughes Corp,HHC,Real Estate,0.00,Real Estate Operations,3057.40,-0.57
Blackbaud Inc,BLKB,Information Technology,128.63,Software & IT Services,2865.62,-0.28
The Simply Good Foods Company,SMPL,Consumer Staples,77.38,Food & Tobacco,2120.29,-0.25
Brady Corp,BRC,Industrials,18.62,Professional & Commercial Services,2043.29,-0.34
Alliance Data Systems Corp,ADS,Information Technology,7.27,Professional & Commercial Services,2082.28,-0.63
Cerence Inc,CRNC,Information Technology,27.28,Software & IT Services,1871.02,1.17
Littelfuse Inc,LFUS,Information Technology,56.73,"Machinery, Equipment & Components",4140.26,-0.13
Kennedy-Wilson Holdings Inc,KW,Real Estate,16.06,Real Estate Operations,2053.33,-0.37
Hain Celestial Group,HAIN,Consumer Staples,138.23,Food & Tobacco,3471.27,0.28
Cornerstone Ondemand,CSOD,Information Technology,0.00,Software & IT Services,2231.35,-0.42
Deciphera Pharmaceuticals Inc,DCPH,Health Care,0.00,Biotechnology & Medical Research,2932.15,-0.17
Evercore Partners Inc,EVR,Financials,11.48,Investment Banking & Investment Services,2598.63,-0.17
Marathon Oil Corp,MRO,Energy,0.00,Oil & Gas,3528.79,-0.69
Sps Commerce Inc,SPSC,Information Technology,68.42,Software & IT Services,2600.54,0.31
Mantech Intl Cp A,MANT,Information Technology,22.71,Software & IT Services,2880.16,-0.13
Hyatt Hotels Corp,H,Consumer Discretionary,21.29,Hotels & Entertainment Services,5397.60,-0.42
Federated Investors,FHI,Financials,0.00,Investment Banking & Investment Services,2037.25,-0.36
Treehouse Foods,THS,Consumer Staples,0.00,Food & Tobacco,2252.15,-0.20
Chemocentryx Inc,CCXI,Health Care,53.48,Pharmaceuticals,3639.59,0.29
Nvent Electric Plc,NVT,Industrials,19.74,"Machinery, Equipment & Components",2946.58,-0.33
Advanced Disposal Services Inc,ADSW,Industrials,18887.50,Professional & Commercial Services,2742.71,-0.08
Tapestry Inc,TPR,Consumer Discretionary,0.00,Specialty Retailers,4591.13,-0.38
Hollyfrontier Corp,HFC,Energy,0.00,Oil & Gas,3396.49,-0.60
Envestnet Inc,ENV,Information Technology,0.00,Software & IT Services,4161.45,0.08
Allogene Therapeutics Inc,ALLO,Health Care,0.00,Biotechnology & Medical Research,5011.71,0.36
Commscope Holding Company,COMM,Information Technology,26.38,Communications & Networking,1799.86,-0.39
Outfront Media Inc,OUT,Real Estate,84.18,Residential & Commercial REIT,2117.06,-0.47
Miller Herman Inc,MLHR,Industrials,130.62,Professional & Commercial Services,1876.81,-0.28
Freshpet Inc CS,FRPT,Consumer Staples,904.01,Food & Tobacco,4330.39,0.77
Mastec Inc,MTZ,Industrials,9.74,Construction & Engineering,3005.89,-0.35
Tenet Healthcare Corp,THC,Health Care,0.00,Healthcare Providers & Services,2518.80,-0.43
On Assignment,ASGN,Industrials,18.10,Software & IT Services,3378.90,-0.12
Mimecast Ltd Ord,MIME,Information Technology,595.18,Software & IT Services,2954.40,0.07
GATX Corp,GATX,Industrials,12.11,Banking Services,2207.18,-0.25
Liveramp Holdings Inc,RAMP,Information Technology,0.00,Software & IT Services,3437.49,0.08
Bottomline Tech IN,EPAY,Information Technology,299.25,Software & IT Services,1905.64,-0.23
Gibraltar Ind Inc,ROCK,Industrials,26.04,Homebuilding & Construction Supplies,2010.24,0.21
Clearway Energy Inc Cl C,CWEN,Utilities,54.47,Electrical Utilities & IPPs,2797.15,0.22
Harley-Davidson Inc,HOG,Consumer Discretionary,48.89,Automobiles & Auto Parts,3623.48,-0.37
Onemain Holdings Inc,OMF,Financials,6.66,Banking Services,4139.82,-0.30
Brighthouse Financial Inc,BHF,Financials,1.21,Insurance,2472.55,-0.33
Aaron's Inc,AAN,Consumer Discretionary,0.00,Specialty Retailers,3822.98,-0.02
Extended Stay America Inc,STAY,Consumer Discretionary,0.00,0,2032.28,-0.21
Brunswick Corp,BC,Consumer Discretionary,0.00,Leisure Products,4869.24,-0.02
Jetblue Airways Cp,JBLU,Industrials,12.52,Passenger Transportation Services,3214.63,-0.39
Capri Holdings Ltd,CPRI,Consumer Discretionary,0.00,Specialty Retailers,3082.07,-0.47
Northwestern Corp,NWE,Utilities,16.20,Electrical Utilities & IPPs,2482.78,-0.33
Coeur Mining Inc,CDE,Materials,0.00,Metals & Mining,1825.60,-0.16
Cno Financial Group,CNO,Financials,0.00,Insurance,2288.77,-0.14
Adaptive Biotechnologies Corp.,ADPT,Health Care,0.00,Biotechnology & Medical Research,6527.60,0.61
Eaton Vance Corp,EV,Financials,14.79,Investment Banking & Investment Services,4038.67,-0.22
Werner Enterprise,WERN,Industrials,19.62,Freight & Logistics Services,2913.82,0.17
Vonage Holdings,VG,Communication Services,0.00,Telecommunications Services,2588.12,0.33
Valvoline Inc,VVV,Materials,16.81,Chemicals,3608.19,-0.11
Euronet Worldwide,EEFT,Information Technology,53.60,Professional & Commercial Services,4830.98,-0.44
Mueller Water Products,MWA,Industrials,19.97,"Machinery, Equipment & Components",1694.94,-0.14
Dolby Laboratories,DLB,Information Technology,19.35,Media & Publishing,6628.20,-0.06
Synaptics Inc,SYNA,Information Technology,23.94,"Computers, Phones & Household Electronics",2778.72,0.17
J2 Global Inc,JCOM,Information Technology,18.87,Telecommunications Services,3345.78,-0.26
Pegasystems Inc,PEGA,Information Technology,785.65,Software & IT Services,9710.14,0.45
Frontdoor Inc,FTDR,Consumer Discretionary,25.32,Personal & Household Products & Services,3580.29,-0.14
Spire Inc,SR,Utilities,45.14,Natural Gas Utilities,2693.05,-0.38
Brinker International,EAT,Consumer Discretionary,60.74,Hotels & Entertainment Services,2012.61,0.04
Old Republic International Corp,ORI,Financials,16.15,Insurance,4400.56,-0.37
Cloudflare,NET,Information Technology,0.00,Software & IT Services,12189.30,1.35
Spectrum Brands Holdings Inc,SPB,Consumer Staples,0.00,Household Goods,2458.51,-0.11
Envista Holdings Corporation,NVST,Health Care,177.19,Healthcare Equipment & Supplies,3774.44,-0.23
Novagold Res Inc,NG.CA,Materials,0.00,Metals & Mining,3735.16,0.23
Amicus Therapeutics,FOLD,Health Care,0.00,Biotechnology & Medical Research,3568.68,0.37
Invesco Plc,IVZ,Financials,10.01,Investment Banking & Investment Services,4678.90,-0.42
Vivint Solar Inc,VSLR,Industrials,0.00,Renewable Energy,4346.18,3.66
Macy's Inc,M,Consumer Discretionary,0.00,Diversified Retail,1945.24,-0.64
Agco Corp,AGCO,Industrials,170.13,"Machinery, Equipment & Components",5377.56,-0.09
Life Storage,LSI,Real Estate,19.40,Residential & Commercial REIT,4983.99,-0.04
Editas Medicine,EDIT,Health Care,0.00,Biotechnology & Medical Research,2023.05,0.06
Investors Bancorp,ISBC,Financials,9.60,Banking Services,1690.53,-0.42
Pra Group Inc,PRAA,Financials,14.39,Banking Services,1850.53,0.10
Lci Industries,LCII,Consumer Discretionary,25.58,Leisure Products,2709.29,-0.02
Msa Safety Inc,MSA,Industrials,33.94,Professional & Commercial Services,5148.19,0.03
Iovance Biotherapeutics Inc,IOVA,Health Care,0.00,Biotechnology & Medical Research,4907.31,0.21
CNX Resources Corp,CNX,Energy,0.00,Coal,2059.88,0.24
Coherent Inc,COHR,Information Technology,146.75,Electronic Equipment & Parts,2578.93,-0.37
Murphy USA Inc,MUSA,Consumer Discretionary,10.95,Oil & Gas,3953.57,0.15
Autonation Inc,AN,Consumer Discretionary,15.22,Specialty Retailers,4570.07,0.09
Kennametal Inc,KMT,Industrials,0.00,"Machinery, Equipment & Components",2471.60,-0.23
W.R. Grace & Company,GRA,Materials,45.11,Chemicals,2691.89,-0.43
Pacira Pharm Inc,PCRX,Health Care,966.08,Pharmaceuticals,2585.90,0.30
Workiva Llc,WK,Information Technology,0.00,Software & IT Services,2705.27,0.31
Phillips-Van Heusen Corp,PVH,Consumer Discretionary,0.00,Textiles & Apparel,4575.55,-0.41
C O N M E D Cp,CNMD,Health Care,0.00,Healthcare Equipment & Supplies,2158.00,-0.34
The Ensign Group IN,ENSG,Health Care,26.42,Healthcare Providers & Services,2945.49,0.19
Trinet Group Inc,TNET,Industrials,13.01,Professional & Commercial Services,4047.83,0.02
Hecla Mining Company,HL,Materials,0.00,Metals & Mining,2781.36,0.39
Unifirst Corp,UNF,Industrials,23.27,Professional & Commercial Services,3458.28,-0.10
Fireeye Inc,FEYE,Information Technology,0.00,Software & IT Services,2955.65,-0.23
Kar Auction Services Inc,KAR,Industrials,114.29,Specialty Retailers,1961.67,-0.34
Jbg Smith Properties,JBGS,Real Estate,74.97,Residential & Commercial REIT,3509.30,-0.35
Copa Holdings S.A.,CPA,Industrials,0.00,Passenger Transportation Services,2346.50,-0.50
Staar Surgical Company,STAA,Health Care,350.85,Healthcare Equipment & Supplies,2535.38,0.54
Apache Corp,APA,Energy,0.00,Oil & Gas,4620.09,-0.57
Stamps.com Inc,STMP,Consumer Discretionary,42.53,Software & IT Services,3960.86,1.75
Halozyme Therapeutic,HALO,Health Care,62.07,Biotechnology & Medical Research,3640.66,0.46
Devon Energy Corp,DVN,Energy,0.00,Oil & Gas,3521.24,-0.67
United States Steel Corp,X,Materials,0.00,Metals & Mining,1641.99,-0.37
Axis Capital Holdings,AXS,Financials,0.00,Insurance,3710.34,-0.28
The Hanover Insurance Group,THG,Financials,12.19,Insurance,3468.29,-0.34
South State Cp,SSB,Financials,27.55,Banking Services,3320.47,-0.47
Primerica Inc,PRI,Financials,13.00,Insurance,4508.39,-0.15
Diodes Inc,DIOD,Information Technology,19.91,Semiconductors & Semiconductor Equipment,2498.28,-0.12
Western Alliance Bancorp,WAL,Financials,7.42,Banking Services,3153.09,-0.46
Graham Holdings Company,GHC,Consumer Discretionary,12.63,Personal & Household Products & Services,2077.71,-0.37
Trupanion Inc,TRUP,Financials,1521.13,Insurance,2462.45,0.86
Equitrans Midstream Corp,ETRN,Energy,0.00,Oil & Gas Related Equipment and Services,3818.71,-0.37
Westlake Chemical Corp,WLK,Materials,21.34,Chemicals,8232.07,-0.11
Newjersey Resources Corp,NJR,Utilities,14.99,Natural Gas Utilities,2597.79,-0.41
Cathay Genl Bncp,CATY,Financials,7.00,Banking Services,1684.76,-0.45
American Campus Communities Inc,ACC,Real Estate,43.98,Residential & Commercial REIT,4818.04,-0.30
Q2 Holdings Inc,QTWO,Information Technology,0.00,Software & IT Services,4996.77,0.11
Credit Acceptance,CACC,Financials,16.92,Banking Services,5458.10,-0.33
Franklin Electric Company,FELE,Industrials,30.60,"Machinery, Equipment & Components",2672.59,-0.01
Tempur-Pedic International Inc,TPX,Consumer Discretionary,23.28,Household Goods,4484.72,-0.02
Cullen/Frost Bankers,CFR,Financials,11.36,Banking Services,3956.43,-0.36
Jefferies Financial Group Inc,JEF,Financials,13.63,Holding Companies,4639.21,-0.19
Haemonetics Corp,HAE,Health Care,45.72,Healthcare Equipment & Supplies,4284.08,-0.27
Axalta Coating Systems Ltd,AXTA,Materials,70.51,Chemicals,5380.33,-0.28
Houlihan Lokey,HLI,Financials,20.12,Investment Banking & Investment Services,3982.00,0.15
Stifel Financial Corp,SF,Financials,8.98,Investment Banking & Investment Services,3331.24,-0.21
Mge Energy Inc,MGEE,Utilities,23.30,Electrical Utilities & IPPs,2229.83,-0.23
Cargurus Inc Cl A,CARG,Communication Services,62.14,Software & IT Services,2669.61,-0.35
Hudson Pacific Properties,HPP,Real Estate,40.00,Residential & Commercial REIT,3389.77,-0.43
Apple Hospitality REIT Inc,APLE,Real Estate,0.00,Residential & Commercial REIT,2089.37,-0.44
B&G Foods Holdings,BGS,Consumer Staples,15.47,Food & Tobacco,1772.87,0.51
Wolverine World Wide,WWW,Consumer Discretionary,38.17,Textiles & Apparel,2159.92,-0.23
One Gas Inc,OGS,Utilities,19.58,Natural Gas Utilities,3610.24,-0.29
Wesco International,WCC,Industrials,15.67,"Machinery, Equipment & Components",2164.84,-0.31
Science Applications International,SAIC,Information Technology,22.78,Software & IT Services,4556.61,-0.13
Helmerich & Payne,HP,Energy,0.00,Oil & Gas Related Equipment and Services,1605.72,-0.69
Acacia Communica,ACIA,Information Technology,48.79,Communications & Networking,2845.63,0.01
Southern Peru Copper Corp,SCCO,Materials,30.01,Metals & Mining,35089.80,0.03
Rli Corp,RLI,Financials,32.43,Insurance,3730.17,-0.10
Commercial Metals Company,CMC,Materials,7.95,Metals & Mining,2332.56,-0.11
Simpson Manufacturing Company,SSD,Industrials,25.97,Homebuilding & Construction Supplies,4127.93,0.16
RBC Bearings Incorp,ROLL,Industrials,24.78,"Machinery, Equipment & Components",2881.35,-0.28
Medpace Holdings Inc,MEDP,Health Care,40.01,Biotechnology & Medical Research,3976.05,0.35
Cogent Comm Hlds,CCOI,Communication Services,73.60,Telecommunications Services,2830.28,-0.09
SJW Corp,SJW,Utilities,66.91,Water Utilities,1730.81,-0.17
Glaukos Corp,GKOS,Health Care,0.00,Healthcare Equipment & Supplies,2152.43,-0.15
Corporate Office Properties,OFC,Real Estate,22.91,Residential & Commercial REIT,2539.88,-0.25
Change Healthcare Inc.,CHNG,Health Care,38.11,Software & IT Services,4278.42,-0.15
TCF Financial Corp.,TCF,Financials,17.28,Banking Services,3499.86,-0.52
Grocery Outlet Holding Corp.,GO,Consumer Staples,58.72,Diversified Retail,3611.82,0.17
National-Oilwell,NOV,Energy,0.00,Oil & Gas Related Equipment and Services,4197.35,-0.58
Hilton Grand Vacations Inc,HGV,Consumer Discretionary,21.55,Hotels & Entertainment Services,1736.43,-0.41
KB Home,KBH,Consumer Discretionary,12.55,Homebuilding & Construction Supplies,4678.85,0.09
Portland General Electric Company,POR,Utilities,13.35,Electrical Utilities & IPPs,3148.91,-0.37
Lendingtree Inc,TREE,Financials,148.44,Banking Services,3928.51,-0.02
Blackline Inc,BL,Information Technology,0.00,Software & IT Services,4955.89,0.64
Energizer Holdings Inc,ENR,Consumer Staples,23.61,"Machinery, Equipment & Components",2721.51,-0.22
Healthcare Realty Trust Inc,HR,Real Estate,35.54,Residential & Commercial REIT,3904.58,-0.16
Dick's Sporting Goods Inc,DKS,Consumer Discretionary,19.46,Specialty Retailers,5001.87,0.14
Arcosa Inc,ACA,Industrials,18.30,Construction & Engineering,2149.68,-0.03
Quaker Chemical Corp,KWR,Materials,0.00,Chemicals,3179.54,0.05
Ump Financial Corp,UMBF,Financials,12.32,Banking Services,2254.72,-0.33
Nexstar Broadcasting,NXST,Communication Services,12.52,Media & Publishing,4339.53,-0.21
Patterson Companies,PDCO,Health Care,39.93,Healthcare Equipment & Supplies,2276.89,0.10
Lazard Ltd,LAZ,Financials,14.19,Investment Banking & Investment Services,3434.99,-0.20
Columbia Sprtswr,COLM,Consumer Discretionary,32.87,Textiles & Apparel,5907.07,-0.10
Fox Factory Cp,FOXF,Consumer Discretionary,40.95,Automobiles & Auto Parts,3150.92,0.04
KBR Inc,KBR,Industrials,0.00,Construction & Engineering,3335.43,-0.27
Avangrid Inc,AGR,Utilities,21.85,Multiline Utilities,15286.50,-0.04
Under Armour,UAA,Consumer Discretionary,0.00,Textiles & Apparel,4641.21,-0.47
Synovus Financial Corp,SNV,Financials,8.03,Banking Services,3019.92,-0.49
Evoqua Water Technologies Corp,AQUA,Industrials,28.10,Professional & Commercial Services,2308.83,0.04
Omnicell Inc,OMCL,Health Care,62.53,Healthcare Equipment & Supplies,3026.77,-0.14
Summit Materials Inc,SUM,Materials,17.45,Construction Materials,1787.03,-0.35
Ryman Hospitality Properties REIT,RHP,Real Estate,0.00,Residential & Commercial REIT,1994.49,-0.59
Bank Ozk,OZK,Financials,10.02,Banking Services,2677.49,-0.32
Agree Realty Corp,ADC,Real Estate,33.05,Residential & Commercial REIT,3447.35,-0.11
Valley National Bancorp,VLY,Financials,8.86,Banking Services,2757.94,-0.42
Nevro Corp,NVRO,Health Care,0.00,Healthcare Equipment & Supplies,4955.82,0.20
American States Water Company,AWR,Utilities,32.22,Water Utilities,2710.60,-0.17
Sanderson Farms IN,SAFM,Consumer Staples,96.51,Food & Tobacco,2596.96,-0.35
Ormat Technologies,ORA,Utilities,37.55,Electrical Utilities & IPPs,2881.21,-0.25
Skywest Inc,SKYW,Industrials,9.44,Passenger Transportation Services,1560.14,-0.54
Kimco Realty Corp,KIM,Real Estate,5.03,Residential & Commercial REIT,4908.92,-0.48
Potlatch Cp,PCH,Real Estate,151.84,Residential & Commercial REIT,2672.85,-0.10
SPX Flow Inc,FLOW,Industrials,51.97,"Machinery, Equipment & Components",1785.31,-0.14
National Vision Holdings Inc,EYE,Consumer Discretionary,108.41,Specialty Retailers,3145.36,0.17
Yeti Holdings Inc,YETI,Consumer Discretionary,60.24,Leisure Products,4093.02,0.29
Interactive Brokers,IBKR,Financials,23.89,Investment Banking & Investment Services,3805.84,0.01
Carter's Inc,CRI,Consumer Discretionary,35.12,Specialty Retailers,3864.76,-0.20
Norwegian Cruise Ord,NCLH,Consumer Discretionary,0.00,Hotels & Entertainment Services,4225.24,-0.74
Cvb Financial Corp,CVBF,Financials,12.31,Banking Services,2183.89,-0.27
Veracyte Inc,VCYT,Health Care,0.00,Biotechnology & Medical Research,1786.30,0.05
Novanta Inc,NOVT,Information Technology,87.92,Electronic Equipment & Parts,3626.29,0.14
